ID,item_cnt_month
124239,0.0
124262,0.018723166
124263,0.020324532
124274,0.12032047
124282,0.19767612
124294,0.043082133
124306,0.060605176
124318,0.40688115
124329,0.009745494
124332,0.19712621
124353,0.32837835
124380,0.07751323
124402,0.08234949
124426,0.35463306
124470,0.042471148
124481,0.059349626
30635,0.04262499
30676,0.16935633
30680,0.5748782
30691,0.2358491
30700,0.47788778
30705,0.716733
30708,0.08096099
30709,1.1984068
30747,0.044014703
30749,0.1289273
30753,0.124193445
30765,0.06705011
30791,0.31139714
30802,0.042870104
30811,0.044705722
30823,0.20455834
30829,0.12670249
30835,0.06196596
30858,0.07196205
30890,0.024366973
30902,0.26850045
30905,0.027470518
30908,0.040298376
30911,0.23167796
30920,0.14095786
30925,0.39590472
30931,0.3719484
30964,0.3211126
30967,0.027172932
31008,0.11830515
31014,0.056077287
31037,0.2227435
31072,0.06641578
31075,0.21818459
31081,0.11435223
31090,0.097575575
31101,0.266012
31107,0.10765834
31125,0.44898725
31134,0.016191497
31190,0.4347991
31195,0.15301734
31204,0.0670731
31228,0.12394327
31231,0.016191497
31242,0.17327763
31248,0.044014703
31257,0.45438683
31268,0.2240202
31281,0.032502554
31286,0.25376213
31307,0.06906078
31310,0.15524636
31313,0.17403668
31330,0.039150175
31345,0.07362159
31354,0.60424584
31363,0.5834996
31366,0.15473111
31371,0.02209443
31374,0.03382555
31380,0.030000968
31394,0.029397713
31413,0.056807492
31438,0.21596096
31439,0.044193204
31441,0.10742361
31451,0.16436432
31459,0.13492508
31477,0.08514116
31532,0.19664548
31577,0.36230618
31603,0.123847984
31606,0.034167074
31615,0.39534146
31618,0.07621504
31661,0.1023574
31662,0.02209443
31664,0.18479024
31667,0.22912802
31715,0.033793986
31741,0.057905518
31755,0.03084935
31756,0.03364836
31773,0.028084537
31779,0.058544617
31785,0.06072281
31793,0.2658772
31797,0.09777472
31803,0.10953012
31808,0.1988122
31828,0.16396727
31838,0.01910043
31840,0.07308558
31873,0.1052131
31879,0.11339653
31899,0.20658778
31908,0.025307396
31911,0.040298376
31916,0.04117569
31920,0.068161644
31923,0.09434993
31926,0.110024996
31946,0.02092995
31952,0.025307352
31960,0.0
31978,0.15249968
31981,0.024467003
31996,0.043312315
32014,0.044014703
32016,0.044508267
32043,0.1291409
32048,0.029397713
32093,0.016762221
32098,0.20978753
32099,0.030818384
32119,0.094687365
32128,0.027298536
32133,0.051891368
32134,0.040224995
32186,0.02619492
32187,0.16202836
32213,0.15132487
